Class,ColorCode
"Pyrazine and Piperazine alkaloids,Pyridine alkaloids",#3a6148
"Pyrazine and Piperazine alkaloids,Simple diketopiperazine alkaloids",#8d3b69
"Pyrazine and Piperazine alkaloids,Tripeptides",#8e7c49
Pyridine alkaloids,#505b8f
"Pyridine alkaloids,Quinazoline alkaloids",#915232
"Pyridine alkaloids,Triketide meroterpenoids",#4e849f
Pyrimidine nucleos(t)ides,#542612
Pyrrocidine tetramate alkaloids,#8fa6c8
Pyrrole alkaloids,#3f250d
"Pyrrole alkaloids,Simple indole alkaloids",#a5a2b6
Pyrrolidine alkaloids,#E5D4DD
"Pyrrolidine alkaloids,Simple indole alkaloids",#ae896e
Pyrrolizidine alkaloids,#DFD6DB
"Pyrrolizidine alkaloids,Salinosporamides",#bc7da3
Pyrroloindole alkaloids,#D9D8D9
Pyrroloquinoline alkaloids,#9d9b89
Quadrane sesquiterpenoids,#D4CAD4
Quinazoline alkaloids,#b96f74
Quinoline alkaloids,#CFBACF
Quinolizidine alkaloids,#b27d7a
Resin glycosides,#CAABCA
Rhamnolipids,#a0554b
Rhizoxins,#C49BC5
RiPPs-Amatoxins and Phallotoxins,#a6868e
RiPPs-Bottromycins,#BF8BC0
"RiPPs-Cyanobactins,Tripeptides",#825d33
RiPPs-Lanthipeptides,#BC85BD
RiPPs-Lasso peptides,#746332
RiPPs-Microcins,#784679
RiPPs-Thiopeptides,#768263
Salinosporamides,#BF98BE
Saponaceolide triterpenoids,#9d829c
Sativane sesquiterpenoids,#C2ABC0
Scalarane sesterterpenoids,#9679a6
Secoabietane diterpenoids,#392f12
Secolabdane diterpenoids,#935f93
Selaginellins,#67461c
Serrulatane and Biflorane diterpenoids,#8089ad
Shikimic acids and derivatives,#252013
"Shikimic acids and derivatives,Simple phenolic acids",#9a5e82
Silphinane sesquiterpenoids,#C5BEC1
Simple amide alkaloids,#9d565b
Simple aromatic polyketides,#C8D1C3
Simple coumarins,#935d4a
Simple cyclic polyketides,#CAE4C4
Simple diketopiperazine alkaloids,#887f69
Simple indole alkaloids,#D1EBBB
"Simple indole alkaloids,Simple oxindole alkaloids",#8c6a50
Simple oxindole alkaloids,#DAEBAC
Simple phenolic acids,#95776d
Simple tetramate alkaloids,#E3EB9C
Sorbicilinoids,#768d9b
Sphaerane diterpenoids,#ECEC8D
Sphaeroane diterpenoids,#7d704f
Sphingoid bases,#F5EC7E
Spiroaxane sesquiterpenoids,#9d6174
Spirodioxynaphthalenes,#FFED6F
Spirotetronate macrolides,#966461
Spirovetivane sesquiterpenoids,#17212e
Spongiane diterpenoids,#733f26
Spriromeroterpenoids,#336b85
"Spriromeroterpenoids,Tetraketide meroterpenoids",#7b373e
Steroidal alkaloids,#13526c
Sterpurane sesquiterpenoids,#5e252a
Stigmastane steroids,#647c77
Streptothricins and derivatives,#28161c
Strobilurins and derivatives,#6d7699
"Taxane diterpenoids,Tetracyclic diterpenoids",#3d1d18
Terpenoid alkaloids,#4f6685
Tetracyclic diterpenoids,#583b23
Tetracyclines,#646085
Tetrahydroisoquinoline alkaloids,#5d5132
Tetraketide meroterpenoids,#603e6a
Tetrodotoxins,#5d684b
Thiazole alkaloids,#7f4569
Thiodiketopiperazine alkaloids,#3d4b37
Thujane monoterpenoids,#7e3e53
Thujopsane sesquiterpenoids,#143b44
Tremulane sesquiterpenoids,#82514f
Triacylglycerols,#1e3430
Trichothecane sesquiterpenoids,#7e5d7f
Tricyclic guanidine alkaloids,#363022
Triketide meroterpenoids,#4b496c
Tripeptides,#725238
Tropane alkaloids,#2f3655
Tropolones and derivatives (PKS),#6b6454
Tropolones and derivatives (Shikimate),#46253f
Tylosins,#57717d
Unclassified,#000000
Unsaturated fatty acids,#364e6c
